iteration	errD	errG	D_x	D_G_z1	D_G_z2
177	0.1178	5.59573	0.95675	0.04051	0.00866
178	0.10761	5.19124	0.96797	0.05327	0.01113
179	0.10192	5.13982	0.98269	0.06986	0.01108
180	0.08037	5.78963	0.98839	0.0604	0.00694
181	0.06428	5.88585	0.97895	0.03795	0.00586
182	0.07031	5.42208	0.97246	0.03579	0.00882
183	0.1686	5.98887	0.98541	0.12949	0.00537
184	0.09383	6.99099	0.99072	0.0722	0.00288
185	0.08932	6.45725	0.96353	0.03908	0.00308
186	0.16451	6.41746	0.96931	0.11045	0.00292
187	0.23668	6.78481	0.97817	0.16701	0.0031
188	0.69422	4.12768	0.65233	0.02941	0.05186
189	0.62438	4.33121	0.81935	0.16916	0.03256
190	0.83134	5.31105	0.90714	0.35304	0.01751
191	0.45918	5.97184	0.94334	0.20784	0.01
192	0.28113	5.88002	0.93486	0.11404	0.00771
193	0.35035	5.14018	0.91478	0.07327	0.01355
194	0.42295	5.68211	0.94803	0.20204	0.00806
195	0.29353	5.94469	0.9232	0.11302	0.00548
196	0.3066	4.93484	0.88721	0.07526	0.01654
197	0.93975	5.26549	0.93665	0.34677	0.01095
198	0.6182	6.39543	0.95503	0.28102	0.00578
199	0.51348	6.07834	0.84324	0.14848	0.00492
200	0.81843	5.47217	0.85162	0.34379	0.0073
201	1.19906	5.55168	0.77053	0.49333	0.0076
202	1.4242	4.15501	0.59588	0.35488	0.04168
203	1.94108	3.56554	0.69143	0.58957	0.05316
204	1.60344	4.07941	0.78137	0.59025	0.03407
205	0.96468	5.52083	0.74604	0.37187	0.0067
206	1.35938	3.89295	0.56427	0.28158	0.05916
207	1.83615	3.47933	0.66816	0.55924	0.05524
208	1.33027	4.33918	0.73686	0.4942	0.03078
209	1.24669	3.86449	0.56827	0.26804	0.03271
210	1.026	3.06705	0.61761	0.27897	0.06905
211	1.06184	3.37036	0.75453	0.44545	0.04769
212	0.72009	3.8506	0.79719	0.30782	0.03125
213	0.73029	3.36145	0.70945	0.22733	0.04971
214	1.19428	3.19784	0.67011	0.43745	0.0579
215	1.11412	3.67014	0.67825	0.4347	0.04079
216	1.1281	3.51838	0.59278	0.34371	0.03869
217	1.11091	3.89875	0.6927	0.44178	0.02642
218	1.07344	3.96214	0.63546	0.3492	0.02236
219	1.08435	4.3619	0.66861	0.38765	0.01562
220	1.1048	4.68461	0.62671	0.35208	0.01145
221	0.99813	4.86719	0.63019	0.30748	0.00924
222	0.34683	5.81856	0.88536	0.1815	0.00315
223	0.43457	4.87424	0.81431	0.1392	0.01235
224	0.82067	5.12239	0.87286	0.401	0.00854
225	0.74918	4.88973	0.7617	0.26222	0.0096
226	0.71336	4.7284	0.74269	0.26167	0.01032
227	0.65954	4.80829	0.74815	0.25127	0.0093
228	0.49321	5.28985	0.81883	0.21776	0.0064
229	0.5262	4.36597	0.75507	0.14159	0.02792
230	0.97922	4.44551	0.84522	0.43151	0.02655
231	0.83428	4.64369	0.80129	0.34687	0.01834
232	0.89841	3.76003	0.68621	0.25497	0.03967
233	1.33774	3.50534	0.73688	0.49989	0.04267
234	1.35831	3.65581	0.68493	0.49552	0.03333
235	1.21855	3.42059	0.61122	0.37851	0.03853
236	1.20066	3.3624	0.61427	0.40834	0.0392
237	1.06734	3.8004	0.63378	0.37711	0.02819
238	0.70999	4.36504	0.72554	0.2466	0.01962
239	0.19912	5.03166	0.90315	0.08466	0.00874
240	0.25177	4.93926	0.89433	0.10418	0.00889
241	0.26697	5.37741	0.91266	0.13231	0.00623
242	0.17863	5.87601	0.9383	0.09144	0.00421
243	0.49977	4.11478	0.79184	0.06719	0.05181
244	1.29658	3.7637	0.88182	0.46445	0.04345
245	1.19326	4.51083	0.81097	0.48578	0.0245
246	0.84762	4.6971	0.75646	0.29044	0.01647
247	0.83807	3.83596	0.67023	0.23326	0.03627
248	1.14268	4.01362	0.72683	0.45197	0.02642
249	1.19107	4.59532	0.62502	0.41003	0.01751
250	1.15052	3.95898	0.56106	0.29799	0.02904
251	1.352	4.25082	0.67096	0.49932	0.02182
252	1.36771	3.94191	0.57856	0.43234	0.02507
253	1.29637	3.9748	0.601	0.45645	0.02275
254	1.62368	4.05423	0.54507	0.48968	0.02223
255	1.59506	4.14454	0.52409	0.45269	0.02036
256	0.96499	5.34264	0.69181	0.37048	0.00685
257	0.79333	5.28765	0.74862	0.30859	0.00664
258	0.70155	5.13888	0.76253	0.25282	0.007
259	0.70553	4.70169	0.75358	0.2521	0.01133
260	0.74175	5.09629	0.81453	0.35536	0.00793
261	0.85565	4.19107	0.67088	0.23449	0.02412
262	1.0012	4.02809	0.79206	0.43983	0.02291
263	0.84512	4.49255	0.79974	0.39501	0.01509
264	0.86622	4.10713	0.69377	0.25737	0.02112
265	0.92114	3.8346	0.69451	0.32974	0.02784
266	0.77272	4.41719	0.81311	0.37117	0.01804
267	0.99266	3.93814	0.65805	0.22982	0.025
268	1.23565	3.72185	0.63292	0.37929	0.03605
269	1.33618	4.0761	0.65209	0.45479	0.02674
270	1.2529	4.07163	0.57205	0.35385	0.02373
271	1.1578	4.28544	0.62554	0.35633	0.01763
272	1.02959	4.35499	0.62373	0.31376	0.01487
273	0.98751	5.01429	0.82543	0.52338	0.00705
274	1.17694	4.73778	0.66717	0.45892	0.01021
275	1.35475	4.56501	0.60685	0.47451	0.01277
276	1.1629	4.80961	0.6407	0.42239	0.0103
277	0.94544	4.33929	0.61675	0.28691	0.01729
278	0.91431	4.637	0.72647	0.38579	0.01234
279	0.64466	5.04936	0.78046	0.27261	0.00845
280	0.65054	4.71474	0.73698	0.20162	0.01205
281	0.71167	4.81896	0.78933	0.27846	0.01037
282	0.84518	4.80152	0.72558	0.27718	0.00962
283	0.64905	5.193	0.79802	0.25556	0.00679
284	0.66113	5.02046	0.75284	0.19035	0.00792
285	0.77526	4.97238	0.8131	0.34018	0.00789
286	0.74552	5.18503	0.80736	0.34487	0.00643
287	0.88294	4.07797	0.67318	0.23474	0.03445
288	0.76295	3.90625	0.79045	0.31322	0.037
289	0.9705	4.26313	0.80081	0.40935	0.03004
290	0.94573	5.0326	0.70995	0.31162	0.00806
291	0.98737	3.72922	0.60425	0.21174	0.05135
292	1.33345	3.28433	0.72613	0.46797	0.05818
293	1.25192	3.6584	0.71128	0.47578	0.03962
294	1.23121	3.2915	0.56749	0.33725	0.0544
295	1.00742	3.49218	0.66684	0.3333	0.04299
296	0.91368	4.22049	0.72787	0.37533	0.02515
297	0.93636	3.77099	0.6264	0.2462	0.03179
298	1.0216	4.02342	0.78379	0.43207	0.02354
299	0.92991	4.54388	0.75702	0.38521	0.01612
300	0.80506	4.33823	0.69867	0.25925	0.01785
301	0.94721	3.87749	0.63304	0.27806	0.02724
302	0.9138	4.16085	0.69671	0.34268	0.02012
303	0.79223	4.01504	0.70056	0.27196	0.02137
304	0.84706	4.2944	0.72477	0.33546	0.01649
305	0.77372	4.05775	0.71904	0.26235	0.02022
306	1.0288	3.90615	0.6524	0.34019	0.02353
307	0.924	4.13445	0.67805	0.37193	0.01796
308	0.85551	4.76961	0.72755	0.35266	0.01206
309	0.79065	4.16897	0.68775	0.25499	0.02201
310	1.05237	4.45415	0.75097	0.44205	0.01603
311	0.91774	5.07566	0.72782	0.37258	0.01086
312	0.92211	4.2373	0.63495	0.23864	0.02767
313	1.11652	4.10293	0.72427	0.43506	0.02758
